Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav
	2167,000000	28,253352	-0,261785	-0,070468		27,267482	3,994504	24,529849	-3,292759	49,495528	26,605677	53,961385	6,403006	-0,118965
	2168,000000	28,217849	-0,254192	-0,111882		27,272578	4,037952	24,521131	-3,329275	49,500987	26,613535	53,947102	6,408132	-0,118965
	2169,000000	28,253352	-0,271296	-0,087438		27,285532	4,052000	24,523425	-3,365312	49,481790	26,608808	53,898524	6,401298	-0,117907
	2170,000000	28,246251	-0,267975	-0,086076		27,284668	4,053146	24,519425	-3,403185	49,502226	26,605828	53,904613	6,403006	-0,114734
	2171,000000	28,210750	-0,274260	-0,103903		27,293594	4,068713	24,519340	-3,433532	49,511595	26,596316	53,844865	6,404715	-0,117907
	2172,000000	28,239150	-0,278396	-0,088985		27,314115	4,105258	24,516684	-3,447462	49,523609	26,584509	53,828622	6,403006	-0,115792
	2173,000000	28,544844	-0,274612	-0,101633		27,333819	4,120655	24,519477	-3,472678	49,515287	26,552911	53,808857	6,404715	-0,117907
	2174,000000	28,303073	-0,265815	-0,108117		27,321081	4,134324	24,528459	-3,503241	49,509279	26,537299	53,753220	6,401298	-0,115792
	2175,000000	28,182356	-0,268668	-0,083381		27,334923	4,157132	24,535699	-3,506389	49,523624	26,516818	53,725965	6,403006	-0,117907
	2176,000000	28,182356	-0,276262	-0,105848		27,361774	4,187551	24,528698	-3,535031	49,521619	26,503071	53,700977	6,406423	-0,115792
	2177,000000	28,196552	-0,261952	-0,095389		27,378136	4,198733	24,540491	-3,571333	49,520268	26,514978	53,666153	6,401298	-0,116850
	2178,000000	28,338599	-0,262105	-0,109237		27,384917	4,228106	24,529409	-3,574302	49,535507	26,486488	53,637900	6,399589	-0,115792
	2179,000000	28,409681	-0,270481	-0,082154		27,405192	4,233088	24,528720	-3,618573	49,520423	26,476386	53,601705	6,401298	-0,116850
	2180,000000	28,288865	-0,276025	-0,101364		27,423797	4,256800	24,534099	-3,624601	49,532567	26,474597	53,577253	6,401298	-0,115792
	2181,000000	28,303073	-0,271390	-0,080578		27,424713	4,282744	24,535386	-3,652649	49,541620	26,452670	53,539569	6,403006	-0,115792
	2182,000000	28,317282	-0,260307	-0,126530		27,450611	4,305533	24,526510	-3,642729	49,541676	26,449616	53,509193	6,401298	-0,114734
	2183,000000	28,196552	-0,276934	-0,110304		27,464798	4,299774	24,537047	-3,674907	49,548965	26,437631	53,464305	6,401298	-0,114734
	2184,000000	28,210750	-0,273198	-0,080498		27,464641	4,332741	24,524538	-3,684486	49,536406	26,429539	53,444129	6,399589	-0,115792
	2185,000000	28,473688	-0,278164	-0,128478		27,480004	4,357580	24,515055	-3,709672	49,566260	26,412494	53,412665	6,399589	-0,115792
	2186,000000	28,345705	-0,268721	-0,116776		27,511379	4,361496	24,534345	-3,727913	49,555933	26,399357	53,380341	6,401298	-0,114734
