Timestamp	Iterationer	Rumtemperatur	Slush Ice temperatur	Brinetemperatur	Lufttemperaturen fra kondensator	Motortemperatur	Temperaturen efter fordamper	Kondensator luft	Kompressortemperatur	Temperatur efter EPV	Temperatur efter kompressor	Temperatur efter kondensator 	Tryk høj	Tryk lav	P1 Temp	P1 Tryk	P1 Enthalpy	P1 Entrophy	P1 Quality	P2 Temp	P2 Tryk	P2 Enthalpy	P2 Entrophy	P2 Quality	P3 Temp	P3 Tryk	P3 Enthalpy	P3 Entrophy	P3 Quality	P4 Temp	P4 Tryk	P4 Enthalpy	P4 Entrophy	P4 Quality
	6381,000000	25,336203	22,772937	13,664800		22,690168	19,431389	23,125011	19,964113	23,055620	23,400962	23,133061	5,270262	1,630390	-2,933348	2,629332	396,882238	1,728772	1,000000	26,428992	6,256594	414,803759	1,728772	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,933348	2,629332	231,631296	1,117222	0,177084
	6382,000000	25,266570	22,763924	13,661799		22,679530	19,431814	23,135787	19,959700	23,063133	23,398877	23,128561	5,273679	1,632505	-2,933348	2,629332	396,882238	1,728772	1,000000	26,428992	6,256594	414,803759	1,728772	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,933348	2,629332	231,631296	1,117222	0,177084
	6383,000000	25,155214	22,781601	13,651978		22,702318	19,420702	23,125287	19,944954	23,071102	23,387861	23,133833	5,270262	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6384,000000	25,377996	22,774503	13,644036		22,681848	19,440948	23,125956	19,951278	23,075579	23,385242	23,115282	5,266845	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6385,000000	25,377996	22,786737	13,653686		22,702461	19,435429	23,138291	19,951382	23,065983	23,412646	23,136337	5,271971	1,630390	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6386,000000	25,377996	22,791839	13,666361		22,678770	19,420320	23,115189	19,968011	23,053187	23,401644	23,135989	5,271971	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6387,000000	25,343167	22,780244	13,651674		22,699157	19,429133	23,132813	19,959643	23,050017	23,391812	23,107686	5,271971	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6388,000000	25,322274	22,771962	13,658819		22,694097	19,431889	23,125228	19,970933	23,064699	23,390276	23,111803	5,271971	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,435070	6,258303	414,805636	1,728759	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,911693	2,631447	231,644092	1,117258	0,177018
	6389,000000	25,196964	22,784162	13,638888		22,683685	19,424526	23,129245	19,967720	23,069311	23,384177	23,133387	5,271971	1,631447	-2,911693	2,631447	396,895012	1,728759	1,000000	26,435070	6,258303	414,805636	1,728759	-1,000000	22,958303	6,258303	231,644092	1,110265	0,000000	-2,911693	2,631447	231,644092	1,117258	0,177018
	6390,000000	25,196964	22,780488	13,641011		22,696846	19,434753	23,126848	19,948852	23,077623	23,398905	23,118071	5,270262	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,464813	6,263428	414,822834	1,728759	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,911693	2,631447	231,682465	1,117400	0,177209
	6391,000000	25,231763	22,769902	13,660631		22,688035	19,432795	23,117385	19,946537	23,059631	23,399221	23,123830	5,266845	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,464813	6,263428	414,822834	1,728759	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,911693	2,631447	231,682465	1,117400	0,177209
	6392,000000	25,238724	22,774829	13,655394		22,705942	19,411292	23,129980	19,950126	23,076662	23,392607	23,130820	5,270262	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6393,000000	25,148256	22,776862	13,642824		22,681509	19,427519	23,124885	19,962877	23,055500	23,398658	23,124401	5,266845	1,629332	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6394,000000	25,461611	22,769366	13,637792		22,678637	19,428512	23,130492	19,952703	23,064323	23,410279	23,117848	5,271971	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,427071	6,256594	414,801829	1,728765	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,922519	2,630390	231,631296	1,117217	0,177019
	6395,000000	25,155214	22,764375	13,671693		22,686078	19,426235	23,129779	19,969416	23,058700	23,393438	23,153990	5,266845	1,629332	-2,922519	2,630390	396,888626	1,728765	1,000000	26,427071	6,256594	414,801829	1,728765	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,922519	2,630390	231,631296	1,117217	0,177019
	6396,000000	25,391929	22,773124	13,643049		22,682369	19,432420	23,120592	19,943189	23,057392	23,408567	23,133624	5,270262	1,631447	-2,922519	2,630390	396,888626	1,728765	1,000000	26,427071	6,256594	414,801829	1,728765	-1,000000	22,949274	6,256594	231,631296	1,110223	0,000000	-2,922519	2,630390	231,631296	1,117217	0,177019
	6397,000000	25,322274	22,769365	13,650220		22,694770	19,428964	23,122587	19,942364	23,065520	23,401911	23,147145	5,268554	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,464813	6,263428	414,822834	1,728759	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,911693	2,631447	231,682465	1,117400	0,177209
	6398,000000	25,405863	22,758752	13,659470		22,688118	19,419189	23,138414	19,962053	23,066985	23,379951	23,123204	5,268554	1,630390	-2,911693	2,631447	396,895012	1,728759	1,000000	26,464813	6,263428	414,822834	1,728759	-1,000000	22,985377	6,263428	231,682465	1,110394	0,000000	-2,911693	2,631447	231,682465	1,117400	0,177209
	6399,000000	25,336203	22,765113	13,646700		22,679915	19,420878	23,126981	19,948105	23,064189	23,407876	23,129749	5,273679	1,632505	-2,933348	2,629332	396,882238	1,728772	1,000000	26,448827	6,260011	414,815229	1,728772	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,933348	2,629332	231,656885	1,117317	0,177212
	6400,000000	25,280494	22,775093	13,650965		22,686862	19,423310	23,126145	19,949030	23,059520	23,409039	23,117562	5,270262	1,631447	-2,933348	2,629332	396,882238	1,728772	1,000000	26,448827	6,260011	414,815229	1,728772	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,933348	2,629332	231,656885	1,117317	0,177212
	6401,000000	25,336203	22,782658	13,640302		22,672309	19,416028	23,141863	19,951849	23,060108	23,395586	23,104652	5,273679	1,629332	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6402,000000	25,391929	22,758626	13,642478		22,690343	19,411873	23,122612	19,948843	23,053362	23,407968	23,126834	5,270262	1,630390	-2,922519	2,630390	396,888626	1,728765	1,000000	26,446906	6,260011	414,813299	1,728765	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,922519	2,630390	231,656885	1,117311	0,177147
	6403,000000	25,329238	22,762134	13,658421		22,689525	19,421601	23,137236	19,945102	23,069758	23,391169	23,119446	5,270262	1,633563	-2,900870	2,632505	396,901396	1,728753	1,000000	26,443068	6,260011	414,809443	1,728753	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,900870	2,632505	231,656885	1,117300	0,177017
	6404,000000	25,183046	22,782623	13,644568		22,686675	19,427218	23,145437	19,943236	23,057067	23,398023	23,128844	5,275388	1,630390	-2,900870	2,632505	396,901396	1,728753	1,000000	26,443068	6,260011	414,809443	1,728753	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,900870	2,632505	231,656885	1,117300	0,177017
	6405,000000	25,336203	22,776888	13,658335		22,695645	19,427033	23,126026	19,942680	23,058747	23,394121	23,114849	5,266845	1,628275	-2,900870	2,632505	396,901396	1,728753	1,000000	26,443068	6,260011	414,809443	1,728753	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,900870	2,632505	231,656885	1,117300	0,177017
	6406,000000	25,252646	22,754373	13,671218		22,694415	19,433001	23,120398	19,938186	23,070656	23,385598	23,118264	5,268554	1,632505	-2,933348	2,629332	396,882238	1,728772	1,000000	26,448827	6,260011	414,815229	1,728772	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,933348	2,629332	231,656885	1,117317	0,177212
	6407,000000	25,308346	22,766629	13,656038		22,680562	19,394359	23,111820	19,932954	23,067275	23,389254	23,132391	5,270262	1,632505	-2,933348	2,629332	396,882238	1,728772	1,000000	26,448827	6,260011	414,815229	1,728772	-1,000000	22,967329	6,260011	231,656885	1,110308	0,000000	-2,933348	2,629332	231,656885	1,117317	0,177212
